reviewId,content,score
bf50feff-cb60-4ba2-8539-a301bdccbfb6,Not the most user friendly when it comes to filtering. Why the hell and I getting jobs from three or four states away?? Then I try to use the filter and it does not let me put my location!! It just has preset cities around the US. So when I select one that somewhat close by its only showing that location! It can't be that those are the closest cities hiring!!,2
101bf665-908a-479e-845e-e907de2a612c,"This app gets progressively more frustrating to use. You can't apply for jobs in this app, it will simply glitch out. You can't save job sometimes because it will just fail. You can't save job applications in the middle of them because it will say that something is wrong. I almost hate using this app, it's only good if you want to browse and I haven't tried to post anything so not sure if that works. The notifications are kind of annoying but I'm sure those can be turned on.",2
2613caf3-4f6c-486c-a2ba-76b214f45605,"Update- docking another star, it's gotten worse. This app is about 2/3rd baked. It eats post and comment drafts if you switch to another app for a few minutes. Uploading media is problematic. Why not use the full Android media picker? I can use Google Photos to find the photo I am looking for in most other apps. Halfway through reading an article you clicked on? Roll the dice when you reopen the app, it may still be there or maybe the app is going to take you to the feed and refresh.",2
8cba4a70-0adb-46b6-bbb1-a03f42c43b06,"The job search is hot garbage. 99.6% of your results will be completely irrelevant. Hiding those irrelevant jobs seems to do absolutely nothing because they're right back in your search next time you load up the app, forcing you to start over and wade through all those hundreds or thousands of terrible job postings all over again. Needs more filters, namely a location filter. I'm not looking for a job across the country when I search remote jobs.",2
7e6629a6-3a36-4f5a-af1a-e892a23dba8d,"Basic functionality is broken. It is often impossible to post replies using the app. I spend time writing a reply, but when I hit ""post"" the text simply disappears. The problem is randomly inconsistent, but it's getting worse. Once posted, the reply cannot be edited. There is an ""edit reply"" link, but clicking it does nothing. I have repeatedly called this problem to the attention of LinkedIn tech support, but they were unhelpful. Maybe a bad review will motivate them to fix the app.",2
b4605fd9-cb76-4657-82d3-8a3db558dda6,"I do not like this app because it is hard to find jobs since the app goes by your resume. There was an option to tune recommendations, but it stills displays the jobs, once again, that is based on your resume. I am trying to find a particular job in a industry, but I hate it when it only shows on my experience. Even if I filter the search, it shows jobs that I am way underqualified for and it is discouraging to see my experience is not enough for internships or entry-level jobs.",2
f3bc3402-4d34-4563-8137-9af470030277,"Hi, posting photos and/or videos via the app causes it to crash. It's not always convenient to be on a laptop. This crash has been going on for a long time and it keeps being ignored in updates. Please fix this. - Thanks to everyone putting in work. ∆∆∆ Response to Dev ∆∆∆: I've done that before, it's the same issue still. The phone is the S7 Edge, I've updated, I've used mobile data and WiFi, it just crashes almost immediately. Especially when it comes to trying to post a video.",2
9d9c8d71-2e91-45fe-b288-8ac5b00cb267,"This app seems to be more or less a wrapper for the mobile LinkedIn website, and it does that poorly. The layout overlaps the screen edges without the ability to resize, meaning lots of horizontal scrolling back and forth to read stuff, as well as the inability to access all icons in the top tool bar of the site without rotating the phone to landscape view. It's clean looking and simple, but these layout issues drastically reduce usability. Unusable for me, even on a large screen phone (Note 8).",2
ae270d06-ea94-4823-b59c-22023e76865f,"I live in a small area, so the selection for companies or jobs near me is close to zero. Not many local businesses use LinkedIn. My app though almost never works right. Over the last 2 weeks, 1 tab at a time has stopped loading. Now every tab from the menu and all the page tabs at the bottom no longer work. This has happened twice before using LinkedIn. I've reported it twice, once to LinkedIn and once to a tech service failure reporting site. No replies from either.",2
0ee39a88-d9d3-48d8-9b09-a6ebb040f025,"When opening the app, it says ""update to our latest app to get the most out of linkedin"". However the app will not function at all except the update button. There is no reason that an app must be ONLY the lastest update to work. The notice should be accurate, clearly it is not. I didn't put the last update in yet as it was less than a month old & they don't always work properly. Now there's another new one 4 days ago. What if your location has bad cell reception or you have a small data plan?",2
d7545a3f-41f2-479a-b0ef-924c2ac6c3d1,"With the recent update, the application keeps returning a ""Something broke seems like we have taken a wrong exit."" message and I need to refresh that particular page to refresh content. This happened once a while in the past, but now seems like the default behavior. It affects the usability of the application and makes me use multiple refreshes to get to something.",2
233cc598-b402-41d9-a2a4-be3f96079963,"Too many ads. Getting Linked in ads popping up CONSTANTLY. They interrupt what Im doing frequently. Don't need to see 20 forklift ads a day. Checked my settings, Checked for malware, the only way I got it to stop was to delete the ap. Annoying as hell. It isn't your phone to do anything with, and showing me your stupid ads over and over again does not take priority over what I am doing. I resent it every time it happens.",2
3eafe09e-9d2e-49e8-8370-a1ccf039b782,"Not a good user experience. App keeps forcing an update and will not work unless I update it. There are no decent descriptions about what is being fixed or improved from the previous version except for an amateurish ""bug fixes"". Therefore, I simply uninstalled and decided to forget about it, and will occasionally log into the website using my PC's browser. The app, as is, is not worth the hassle.",2
