Review ID,Review Content
725ba2e5-a049-4e73-9982-40b5c4bdc409,You rolled out a verification feature but yet I can upload more than 5mb? That is a flaw considering many people use their phone and default size is larger than 5 mb. Increase image size.
0bb5c5bc-4449-4173-93b7-0becb2c4d52f,Incredibly aggressive. There is no way to skip the first few questions (job title/studies). Why do I have to do it from the get-go when I can add it later how I want? This app - and just the website really - has gotten worse and worse with each update. Navigating and just using LinkedIn gets harder and more annoying. So many useless features that employers can't use correctly anyway. What is with this recent trend of willful overcomplication of working systems? Facebook 1.2.
ef3cb9be-dc87-436e-844e-75e4a47b527b,App is nice until you need to upload a CV bigger than 2mb through easy apply. Could you just go back to the time were CVs upload size capped at 5 mb. Kindly fix this ASAP
c94df629-52f3-42fa-bc44-c16b01f69269,"Something has broken in the app. It keeps prompting me to update, but I have updates turned on automatically and there is no update to install. The messaging function does not work. I've tried uninstalling and reinstalling several times. I guess I'll just stop using it on my phone, and therefore using less frequently."
936dab33-23cf-4ce9-90cb-600300043c1f,The App is full of annoying bugs like it is showing 2 new notifications but there are none in the inbox. Above that it is ignoring my notifications settings to not send me Emails like job alerts and stuff. I contacted the support but just received an invitation to an online Pro Seminar to understand more payment features instead of technical help. => Not interested in LinkedIn anymore!
4f08afcf-4dfd-46fd-be29-57b5e20e5693,"Foul app. After completing Captcha, they always display no user captcha response. I can't log in with my PC or Phone. I am frustrated with this. Please fix it ASAP."
c343c4ce-5cc6-45f0-99a5-75a01d28623e,Hate the app just trying to apply for a job and have to scroll through loads of unnecessary rubbish
816f713b-0313-4f99-a6ee-4cc3a9703c0f,"Can't upload picture or video on my timeline,i logged in to my account using another phone and it's working, please what could be the cause of this??"
3af9788b-457a-4fe0-a45d-2fda96782b87,"Worst experience with Linkedin, No support at all. My current account is restricted permanently without any prior notification and explanation."
b7bade5c-f338-4ccd-b220-58978a0b760c,"Dreadful! I have hated the UI ever since I started using this app! There's always a profile glitch in LinkedIn (they take forever to load) It's not bad connection or low end device, it's the app that sucks! I don't understand how Microsoft owns this (expected better)"
